################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.9145617621698974E-01 a         1     0     1     1     1
  8.0891544523879533E-01 a         2     0     1     1     2
 -1.5733895760268826E+00 a         3     0     1     1     3
 -9.5262401801878005E-01 a         4     0     1     1     4
  8.6251901574900036E-01 a         5     0     1     1     5
  5.2589618248708858E-01 a         6     0     1     1     6
  1.9647222586957597E-01 a         7     0     1     1     7
  7.6191039170129726E-01 a         8     0     1     1     8
  2.5028680761358428E+00 a         9     0     1     1     9
  1.5364353065094518E+00 a        10     0     1     1    10
 -2.8418566323070865E-01 a        11     0     1     1    11
 -2.5353938259108779E+00 a        12     0     1     1    12
 -6.9097299036276372E-02 a        13     0     1     1    13
 -1.4948469107195089E-01 a        14     0     1     1    14
  1.0783983967292099E+00 a        15     0     1     1    15
  1.8413954581713823E+00 a        16     0     1     1    16
 -1.1074898046553003E+00 a        17     0     1     1    17
 -4.8562373703326178E-01 a        18     0     1     1    18
  6.9213442575210016E-01 a        19     0     1     1    19
 -8.8153299662702267E-01 a        20     0     1     1    20
  1.2997915760112257E+00 a        21     0     2     1     1
 -5.7357155249154645E-01 a        22     0     2     1     2
 -1.9135075509944208E+00 a        23     0     2     1     3
  1.8693982034290935E+00 a        24     0     2     1     4
  1.6903759615326241E+00 a        25     0     2     1     5
  3.9698164340873360E-01 a        26     0     2     1     6
 -9.6111032468236057E-01 a        27     0     2     1     7
  3.3350349680374702E-02 a        28     0     2     1     8
 -2.7023785185555051E+00 a        29     0     2     1     9
 -2.0493801152691246E-01 a        30     0     2     1    10
  3.9883701714693389E+00 a        31     0     2     1    11
 -1.8711201608395708E-01 a        32     0     2     1    12
  2.3289454223420870E-02 a        33     0     2     1    13
 -1.5214872582184931E+00 a        34     0     2     1    14
 -2.3817228088820583E-01 a        35     0     2     1    15
 -3.7748126758709932E-01 a        36     0     2     1    16
  1.6129393612565261E+00 a        37     0     2     1    17
 -3.4544320284458108E-01 a        38     0     2     1    18
  9.8321209549780220E-01 a        39     0     2     1    19
  1.8892566660697765E+00 a        40     0     2     1    20
 -1.1065723216151555E+00 a        41     0     3     1     1
  1.4376558927870778E-01 a        42     0     3     1     2
  3.1023119320344099E+00 a        43     0     3     1     3
  9.1096282552559404E-01 a        44     0     3     1     4
 -2.1224760765969246E+00 a        45     0     3     1     5
 -9.8220466926999817E-01 a        46     0     3     1     6
 -1.1449602800613712E+00 a        47     0     3     1     7
 -1.1932337370250807E+00 a        48     0     3     1     8
 -1.3488718441371785E+00 a        49     0     3     1     9
 -1.6575187907329174E+00 a        50     0     3     1    10
 -3.0058718133180307E+00 a        51     0     3     1    11
  1.3832797106622079E+00 a        52     0     3     1    12
 -7.2709604487121049E-01 a        53     0     3     1    13
  9.3318548785059208E-01 a        54     0     3     1    14
 -2.6705947997923030E-01 a        55     0     3     1    15
 -1.5164205532699152E-01 a        56     0     3     1    16
  1.9315694165364392E+00 a        57     0     3     1    17
  2.5397385714593503E+00 a        58     0     3     1    18
 -1.4434781434207642E+00 a        59     0     3     1    19
  1.0696187370388552E+00 a        60     0     3     1    20
 -3.2332988996304493E+00 a        61     0     4     1     1
  6.8591144776284629E-01 a        62     0     4     1     2
  2.7370367200150603E+00 a        63     0     4     1     3
 -9.3957124484508825E-01 a        64     0     4     1     4
 -1.8609270992775546E+00 a        65     0     4     1     5
 -5.7019421446093688E-01 a        66     0     4     1     6
  8.7194874043537962E-01 a        67     0     4     1     7
  7.1487091088695309E-01 a        68     0     4     1     8
  3.8554076330625295E+00 a        69     0     4     1     9
  2.2013324741245435E-01 a        70     0     4     1    10
 -4.8952040697552173E+00 a        71     0     4     1    11
  1.4230823765652343E+00 a        72     0     4     1    12
 -4.8406654073719280E-01 a        73     0     4     1    13
  8.8611638291073913E-01 a        74     0     4     1    14
 -2.5129221272256558E-01 a        75     0     4     1    15
 -8.6714118808904783E-01 a        76     0     4     1    16
 -2.8078258809271412E+00 a        77     0     4     1    17
 -4.6592947344440622E-01 a        78     0     4     1    18
 -1.9013260423002316E+00 a        79     0     4     1    19
 -2.1737378181147160E+00 a        80     0     4     1    20
  1.6311719747053359E+00 a        81     0     5     1     1
 -3.2169307109444842E+00 a        82     0     5     1     2
 -3.1281208145749120E+00 a        83     0     5     1     3
 -2.1737651078439209E+00 a        84     0     5     1     4
 -3.0331782959613934E-01 a        85     0     5     1     5
  8.5907479599321346E-01 a        86     0     5     1     6
  1.6092580679658588E+00 a        87     0     5     1     7
 -2.4821418618611910E-02 a        88     0     5     1     8
 -7.3712244363140622E-01 a        89     0     5     1     9
 -2.0801333807277822E+00 a        90     0     5     1    10
  4.7988192833936276E+00 a        91     0     5     1    11
  2.7631954538424877E+00 a        92     0     5     1    12
  1.6096348202564599E+00 a        93     0     5     1    13
  9.6595537707990092E-02 a        94     0     5     1    14
 -1.1879734913820181E+00 a        95     0     5     1    15
 -1.4140389637075501E+00 a        96     0     5     1    16
 -2.0927613942126380E+00 a        97     0     5     1    17
 -1.4783859361486109E+00 a        98     0     5     1    18
  1.3291778408867758E-01 a        99     0     5     1    19
 -4.9600366358754316E-01 a       100     0     5     1    20
  3.8324668546568250E+00 a       101     0     6     1     1
 -2.3509157493439581E-01 a       102     0     6     1     2
  1.8795443569599957E+00 a       103     0     6     1     3
 -7.5050458119230878E-01 a       104     0     6     1     4
  7.3697616993504356E-01 a       105     0     6     1     5
  1.3882660550657795E+00 a       106     0     6     1     6
  1.5667769492825963E+00 a       107     0     6     1     7
 -1.2867370928032780E+00 a       108     0     6     1     8
 -1.1856634166118205E+00 a       109     0     6     1     9
  6.3601120943986855E-01 a       110     0     6     1    10
  1.9054111670501119E+00 a       111     0     6     1    11
 -1.4054558041768583E+00 a       112     0     6     1    12
  2.1082599097335435E+00 a       113     0     6     1    13
  1.1433110521787342E+00 a       114     0     6     1    14
 -1.5958034003839852E-01 a       115     0     6     1    15
  8.4893039432523176E-01 a       116     0     6     1    16
  1.7560655997683621E+00 a       117     0     6     1    17
  1.5247804109491441E+00 a       118     0     6     1    18
  2.0003685021210789E+00 a       119     0     6     1    19
 -6.2215704838762875E-01 a       120     0     6     1    20
 -2.5043314680499917E-01 a       121     0     7     1     1
  3.8662949088188725E+00 a       122     0     7     1     2
  1.7079095341390493E+00 a       123     0     7     1     3
  3.3963399616127958E+00 a       124     0     7     1     4
