################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2090977136677572E+00 a         1     0     1     1     1
  8.6920590923960472E-01 a         2     0     1     1     2
  3.3565521332448651E+00 a         3     0     1     1     3
 -2.2562552319239618E-01 a         4     0     1     1     4
 -6.7943045972994320E-01 a         5     0     1     1     5
  5.1035437292594055E-01 a         6     0     1     1     6
 -4.3341394465676721E+00 a         7     0     1     1     7
 -1.3478565408519452E+00 a         8     0     1     1     8
 -9.8031794737383426E-01 a         9     0     1     1     9
  2.0692835693348948E+00 a        10     0     1     1    10
 -5.1396828545539419E-01 a        11     0     1     1    11
  1.2163063419349742E+00 a        12     0     1     1    12
 -1.6060035647949336E-01 a        13     0     1     1    13
 -3.4791982470154198E-01 a        14     0     1     1    14
  8.8286216487219373E-03 a        15     0     1     1    15
 -4.3767928765565389E-01 a        16     0     1     1    16
  1.6096712797722410E+00 a        17     0     1     1    17
  3.8244306105167147E-01 a        18     0     1     1    18
 -1.3566211614588510E+00 a        19     0     1     1    19
  7.3187269050754600E-01 a        20     0     1     1    20
 -2.6243275810929317E-01 a        21     0     2     1     1
 -8.4407039699486175E-01 a        22     0     2     1     2
 -1.8815593004765558E+00 a        23     0     2     1     3
 -1.0088188206090927E+00 a        24     0     2     1     4
 -6.5587343256587283E-01 a        25     0     2     1     5
 -1.3906622498788672E+00 a        26     0     2     1     6
  3.4454472229923554E+00 a        27     0     2     1     7
  1.3911070071732976E+00 a        28     0     2     1     8
  3.0609580301163728E+00 a        29     0     2     1     9
  2.8060492361824524E-01 a        30     0     2     1    10
 -1.8110973577440976E+00 a        31     0     2     1    11
  3.5200462211005162E-01 a        32     0     2     1    12
  1.3816389886341876E-01 a        33     0     2     1    13
 -1.5142814771049284E-01 a        34     0     2     1    14
 -1.8354371354421140E-01 a        35     0     2     1    15
 -8.8561970371537280E-01 a        36     0     2     1    16
  5.2843077575206654E-01 a        37     0     2     1    17
  9.2510168319971064E-01 a        38     0     2     1    18
  1.6161266099462185E-01 a        39     0     2     1    19
  6.6357515119437283E-01 a        40     0     2     1    20
  3.1620451485743080E+00 a        41     0     3     1     1
 -2.4016003323952484E+00 a        42     0     3     1     2
 -3.0795589775345920E+00 a        43     0     3     1     3
  1.9319019957944696E+00 a        44     0     3     1     4
  3.1717817732283287E+00 a        45     0     3     1     5
 -2.2455738115327159E-01 a        46     0     3     1     6
  6.3892886678348457E+00 a        47     0     3     1     7
  1.8898305352257820E+00 a        48     0     3     1     8
  1.0254845932565364E+00 a        49     0     3     1     9
 -2.2291842927545522E+00 a        50     0     3     1    10
  2.8031875617240711E+00 a        51     0     3     1    11
 -3.6722019089802873E+00 a        52     0     3     1    12
  7.4835921861477117E-01 a        53     0     3     1    13
  1.1335296373478656E+00 a        54     0     3     1    14
  7.4632165397616779E-01 a        55     0     3     1    15
  1.3010021212917573E+00 a        56     0     3     1    16
 -2.6279249088523708E+00 a        57     0     3     1    17
  8.9842695562156127E-02 a        58     0     3     1    18
  1.8388915125075489E+00 a        59     0     3     1    19
 -1.6645471158827843E+00 a        60     0     3     1    20
  1.7254823625302880E+00 a        61     0     4     1     1
  2.2105760016808960E+00 a        62     0     4     1     2
  2.4310814538851866E+00 a        63     0     4     1     3
  8.6960585734717344E-01 a        64     0     4     1     4
  9.9834799093210580E-01 a        65     0     4     1     5
  1.4219611743950291E+00 a        66     0     4     1     6
 -4.3474555682023119E+00 a        67     0     4     1     7
 -1.8329318551757847E+00 a        68     0     4     1     8
 -4.2800442721090297E+00 a        69     0     4     1     9
  5.3340408830566932E-01 a        70     0     4     1    10
  2.9860965071972343E+00 a        71     0     4     1    11
  1.4189726230940436E-01 a        72     0     4     1    12
  2.1869019957212232E-01 a        73     0     4     1    13
 -2.7786147280486373E-01 a        74     0     4     1    14
 -4.1826795554842100E-01 a        75     0     4     1    15
  2.3333610282084654E+00 a        76     0     4     1    16
  1.3311662072944250E+00 a        77     0     4     1    17
 -6.1055391543920291E-02 a        78     0     4     1    18
  4.0706972140819458E-01 a        79     0     4     1    19
 -1.1503182956733711E+00 a        80     0     4     1    20
 -1.3714987270671672E+00 a        81     0     5     1     1
  3.2373178834398209E+00 a        82     0     5     1     2
 -4.3858657208357166E-01 a        83     0     5     1     3
 -3.1769929309972360E+00 a        84     0     5     1     4
 -3.2106858176267385E+00 a        85     0     5     1     5
  2.1722316345980496E-02 a        86     0     5     1     6
 -4.0366561758717285E+00 a        87     0     5     1     7
 -7.4507610513259981E-01 a        88     0     5     1     8
 -6.2940513066567039E-01 a        89     0     5     1     9
 -3.7267987573071890E+00 a        90     0     5     1    10
 -4.1707127895023994E+00 a        91     0     5     1    11
  3.3632037169401987E+00 a        92     0     5     1    12
 -9.6665721323686127E-01 a        93     0     5     1    13
 -4.4791383251704964E-01 a        94     0     5     1    14
 -1.2485521352793785E+00 a        95     0     5     1    15
 -1.8609605865940413E+00 a        96     0     5     1    16
  2.0950397675172838E+00 a        97     0     5     1    17
 -2.0999053465752850E+00 a        98     0     5     1    18
 -1.0748442760251573E+00 a        99     0     5     1    19
  9.2410383006946539E-01 a       100     0     5     1    20
 -2.5152015894700130E+00 a       101     0     6     1     1
 -1.8531431861416401E+00 a       102     0     6     1     2
 -2.6905240492140732E+00 a       103     0     6     1     3
  1.2704149343930862E+00 a       104     0     6     1     4
 -1.0607385452868714E+00 a       105     0     6     1     5
  1.9966067679385813E-01 a       106     0     6     1     6
  1.9492217506564378E+00 a       107     0     6     1     7
  1.2217903757099875E+00 a       108     0     6     1     8
 -7.4622214905637932E-02 a       109     0     6     1     9
 -1.5617078084849052E+00 a       110     0     6     1    10
 -1.2131435811179363E+00 a       111     0     6     1    11
 -1.6745033702326992E+00 a       112     0     6     1    12
 -2.4899084531346158E+00 a       113     0     6     1    13
  1.5397231722296381E+00 a       114     0     6     1    14
  1.9608066733445602E+00 a       115     0     6     1    15
 -3.2911489305127954E+00 a       116     0     6     1    16
 -4.4142110729131794E+00 a       117     0     6     1    17
 -7.3240418254577744E-01 a       118     0     6     1    18
 -5.1429080081786371E-01 a       119     0     6     1    19
  1.4769759612457429E+00 a       120     0     6     1    20
  2.3891884208047171E-01 a       121     0     7     1     1
 -3.8978222550390051E+00 a       122     0     7     1     2
  3.5950648946497656E+00 a       123     0     7     1     3
  2.5509589154217651E+00 a       124     0     7     1     4
