################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.3452337170347022E-01 a       117     0     6     1    17
  1.6044690344895292E+00 a       118     0     6     1    18
  1.6539775582413563E+00 a       119     0     6     1    19
  1.3137415727106119E+00 a       120     0     6     1    20
  2.9373639254944641E+00 a       121     0     7     1     1
  7.6334757347663174E-01 a       122     0     7     1     2
  1.4506406188968259E+00 a       123     0     7     1     3
  1.2974913872445384E+00 a       124     0     7     1     4
  1.2110110885012657E+00 a       125     0     7     1     5
 -3.8987028192338475E+00 a       126     0     7     1     6
 -4.9552753493491203E-01 a       127     0     7     1     7
 -1.0285459234874352E+00 a       128     0     7     1     8
  2.5789188859362668E+00 a       129     0     7     1     9
 -9.9761620850045896E-01 a       130     0     7     1    10
 -2.7037301024613831E+00 a       131     0     7     1    11
 -1.9876172385018112E+00 a       132     0     7     1    12
  1.9525339501126691E+00 a       133     0     7     1    13
  1.9375292357653893E+00 a       134     0     7     1    14
 -3.1180211870042678E+00 a       135     0     7     1    15
 -1.1366574920304393E+00 a       136     0     7     1    16
  2.1964193468225029E-01 a       137     0     7     1    17
 -2.6047362060368302E+00 a       138     0     7     1    18
  2.3900988151186455E+00 a       139     0     7     1    19
  1.9111370370387455E+00 a       140     0     7     1    20
  2.5868315623502053E-01 a       141     0     8     1     1
 -4.7573482722466603E-01 a       142     0     8     1     2
  1.4059807920816687E+00 a       143     0     8     1     3
  1.6464196861420961E+00 a       144     0     8     1     4
  2.7332336648843586E-01 a       145     0     8     1     5
 -2.4761196219711770E+00 a       146     0     8     1     6
 -1.4117960173404380E+00 a       147     0     8     1     7
