################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.5008279975086943E-02 a         1     0     1     1     1
  1.3190025540228576E+00 a         2     0     1     1     2
  2.7701382545952509E+00 a         3     0     1     1     3
 -6.4292722887855858E-01 a         4     0     1     1     4
  9.6976196885283328E-01 a         5     0     1     1     5
  4.1947223096012332E-01 a         6     0     1     1     6
 -8.5872099104716060E-01 a         7     0     1     1     7
  3.0885451110778739E-01 a         8     0     1     1     8
 -7.2074163084386311E-01 a         9     0     1     1     9
 -1.1004222030432629E+00 a        10     0     1     1    10
 -1.0354398786068331E+00 a        11     0     1     1    11
 -4.5680046260623115E-02 a        12     0     1     1    12
 -3.3514044428717873E+00 a        13     0     1     1    13
  5.2702035889789411E-01 a        14     0     1     1    14
 -1.4409489816964587E+00 a        15     0     1     1    15
 -5.1482454322926730E-01 a        16     0     1     1    16
  8.3912695947396287E-01 a        17     0     1     1    17
 -1.2848028969282745E+00 a        18     0     1     1    18
  1.6838689608337269E+00 a        19     0     1     1    19
 -1.6784533596160847E+00 a        20     0     1     1    20
  3.1609657118771373E-01 a        21     0     2     1     1
 -2.3213549912866605E-01 a        22     0     2     1     2
 -1.9493240005663273E+00 a        23     0     2     1     3
 -5.3655376625577544E-01 a        24     0     2     1     4
 -2.0026437638166747E+00 a        25     0     2     1     5
  5.5973408888242260E-01 a        26     0     2     1     6
  8.2222993892409046E-01 a        27     0     2     1     7
  1.2443073504760978E+00 a        28     0     2     1     8
  7.8471372089526570E-01 a        29     0     2     1     9
  6.3589501072641652E-01 a        30     0     2     1    10
 -5.9207579723062298E-01 a        31     0     2     1    11
  7.3352513501423677E-01 a        32     0     2     1    12
  3.0495111664912278E+00 a        33     0     2     1    13
 -8.1341741385778366E-01 a        34     0     2     1    14
  2.8315297172832554E-01 a        35     0     2     1    15
 -1.3468536520611851E+00 a        36     0     2     1    16
 -9.4088771518760372E-01 a        37     0     2     1    17
 -1.8294931297180446E+00 a        38     0     2     1    18
 -8.5979271686019976E-01 a        39     0     2     1    19
  1.2305182929018973E-01 a        40     0     2     1    20
 -1.2444065114358773E+00 a        41     0     3     1     1
 -1.3172314247479748E+00 a        42     0     3     1     2
 -4.0084688038340444E+00 a        43     0     3     1     3
  1.8881623748530505E+00 a        44     0     3     1     4
 -2.2435762746856023E+00 a        45     0     3     1     5
 -1.7785285941832656E+00 a        46     0     3     1     6
  2.8875183952817287E+00 a        47     0     3     1     7
 -5.6713063121847862E-01 a        48     0     3     1     8
  1.3907555149436908E+00 a        49     0     3     1     9
  3.2802592115814924E+00 a        50     0     3     1    10
  2.7903376521075782E+00 a        51     0     3     1    11
 -9.0387100640098972E-02 a        52     0     3     1    12
  2.4316125184712751E+00 a        53     0     3     1    13
 -8.2285824776348038E-01 a        54     0     3     1    14
  2.7019521413794898E+00 a        55     0     3     1    15
