################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4881638165008031E+00 a       117     0     8     1     5
  9.6372937930143738E+00 a       118     0     8     1     6
  6.3091260365376511E+00 a       119     0     8     1     7
  2.6256782151618729E+00 a       120     0     8     1     8
  5.4004206284898437E+00 a       121     0     8     1     9
 -3.0815057676890003E+00 a       122     0     8     1    10
  7.0267080456324038E+00 a       123     0     8     1    11
  5.4203246832767453E+00 a       124     0     8     1    12
  7.9939062871284572E-01 a       125     0     8     1    13
 -5.7751983129143873E+00 a       126     0     8     1    14
  8.9066442628656048E+00 a       127     0     8     1    15
 -4.5705770360157638E+00 a       128     0     8     1    16
  2.3380453264935426E+01 a       129     0     9     1     1
 -7.6583263100279808E-01 a       130     0     9     1     2
 -1.2020210057059018E+01 a       131     0     9     1     3
  1.5118997829432395E+01 a       132     0     9     1     4
 -5.8990182999787288E+00 a       133     0     9     1     5
 -1.3013518983950998E+01 a       134     0     9     1     6
 -3.1289127430736198E+01 a       135     0     9     1     7
 -2.5534361874973186E+01 a       136     0     9     1     8
 -6.6460011087076873E+00 a       137     0     9     1     9
  6.4512818869688200E+00 a       138     0     9     1    10
 -1.5751064035599732E+01 a       139     0     9     1    11
  1.8140196652880331E+01 a       140     0     9     1    12
 -1.0289065298221967E+01 a       141     0     9     1    13
 -2.7638035681762428E+01 a       142     0     9     1    14
  6.3618408391115384E+00 a       143     0     9     1    15
 -1.8646609081218863E+01 a       144     0     9     1    16
  4.7249820082236882E+00 a       145     0    10     1     1
  6.7163826582781070E+01 a       146     0    10     1     2
  9.3128915403121830E+00 a       147     0    10     1     3
 -3.5221628920529895E+01 a       148     0    10     1     4
  5.9684938026538745E+00 a       149     0    10     1     5
