################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3612735982023474E-01 a         1     0     1     1     1
 -3.0529297360464958E-01 a         2     0     1     1     2
 -2.5224758048801182E-01 a         3     0     1     1     3
  1.1979146555055231E+00 a         4     0     1     1     4
  1.0101935080894773E+00 a         5     0     1     1     5
  2.5007861062267628E-01 a         6     0     1     1     6
 -3.9827678332182228E+00 a         7     0     1     1     7
 -1.3708998976203346E+00 a         8     0     1     1     8
  9.1043189871057240E-01 a         9     0     1     1     9
  6.8954628882843727E-01 a        10     0     1     1    10
  1.2818121901146249E+00 a        11     0     1     1    11
  2.4419121081919967E-01 a        12     0     1     1    12
  2.1459793968307103E-01 a        13     0     1     1    13
  4.2475060456142127E-01 a        14     0     1     1    14
 -1.0405767245097179E+00 a        15     0     1     1    15
  4.7856992700213558E-01 a        16     0     1     1    16
  6.5657428937999462E-01 a        17     0     1     1    17
  3.1738899169198954E-02 a        18     0     1     1    18
 -1.1454948639143101E+00 a        19     0     1     1    19
  6.9595069638765061E-01 a        20     0     1     1    20
  1.1631478316351616E+00 a        21     0     2     1     1
 -1.2804149147201480E+00 a        22     0     2     1     2
 -1.3085956616721675E-01 a        23     0     2     1     3
 -1.6044688941655580E+00 a        24     0     2     1     4
 -5.4231290957560652E-01 a        25     0     2     1     5
 -8.8722229226495475E-01 a        26     0     2     1     6
  1.9986971297595995E+00 a        27     0     2     1     7
 -1.0553264388110504E+00 a        28     0     2     1     8
 -6.6976228413659089E-01 a        29     0     2     1     9
  9.5753095068652616E-01 a        30     0     2     1    10
 -3.1239302647079831E-01 a        31     0     2     1    11
 -1.0511008818749370E+00 a        32     0     2     1    12
  5.8767211198240743E-01 a        33     0     2     1    13
 -9.1849283613852195E-01 a        34     0     2     1    14
  6.0419097578748882E-01 a        35     0     2     1    15
 -1.2913403950490498E+00 a        36     0     2     1    16
 -3.1770465724524799E+00 a        37     0     2     1    17
 -1.5180241664632885E+00 a        38     0     2     1    18
  1.3018047537748245E+00 a        39     0     2     1    19
  1.6302897759030497E+00 a        40     0     2     1    20
 -1.3421652085621854E+00 a        41     0     3     1     1
  6.4823324076151079E-01 a        42     0     3     1     2
  1.1975532427141251E+00 a        43     0     3     1     3
 -1.0732524490019155E+00 a        44     0     3     1     4
  1.1423462980588471E-01 a        45     0     3     1     5
  6.3753631109210984E-01 a        46     0     3     1     6
  5.9088471288065065E+00 a        47     0     3     1     7
  2.9854336470378158E+00 a        48     0     3     1     8
 -9.0872520054011396E-01 a        49     0     3     1     9
 -1.7086025718622431E+00 a        50     0     3     1    10
 -2.9268320720375378E+00 a        51     0     3     1    11
  1.4104339477918266E+00 a        52     0     3     1    12
 -8.8682886206351275E-01 a        53     0     3     1    13
 -2.7935846376291285E-01 a        54     0     3     1    14
  7.1879356652563353E-01 a        55     0     3     1    15
 -1.4691983526873511E+00 a        56     0     3     1    16
  1.4944504273885950E+00 a        57     0     3     1    17
  1.4844124019223259E+00 a        58     0     3     1    18
  2.6318310323080802E+00 a        59     0     3     1    19
 -4.8009980475701008E-01 a        60     0     3     1    20
  3.5896615198174546E-02 a        61     0     4     1     1
  2.9766757100615209E+00 a        62     0     4     1     2
 -9.9521410173040253E-02 a        63     0     4     1     3
  1.6641311817886917E+00 a        64     0     4     1     4
  1.6274175002898028E-01 a        65     0     4     1     5
  1.6793257462528275E+00 a        66     0     4     1     6
 -2.7837005475937024E+00 a        67     0     4     1     7
  6.7244320746740938E-01 a        68     0     4     1     8
 -8.2070421002773530E-01 a        69     0     4     1     9
 -3.0234064753514520E+00 a        70     0     4     1    10
  1.2483570027818547E+00 a        71     0     4     1    11
  1.4198329378779013E+00 a        72     0     4     1    12
 -1.7016019679426762E+00 a        73     0     4     1    13
  8.8701772092059372E-01 a        74     0     4     1    14
 -1.1841755302110771E-02 a        75     0     4     1    15
  7.1560328987892097E-01 a        76     0     4     1    16
  3.1177524266545289E+00 a        77     0     4     1    17
  2.2826005050475850E+00 a        78     0     4     1    18
 -3.1002931842295469E+00 a        79     0     4     1    19
 -3.2229371638345281E+00 a        80     0     4     1    20
  1.5246632602313248E+00 a        81     0     5     1     1
 -1.3818901255304601E+00 a        82     0     5     1     2
 -2.5104556526211588E+00 a        83     0     5     1     3
  2.0131594591417817E-01 a        84     0     5     1     4
 -1.5840014841999055E+00 a        85     0     5     1     5
 -6.8116676693609812E-01 a        86     0     5     1     6
 -2.9352845851739775E+00 a        87     0     5     1     7
 -3.2407572527648800E+00 a        88     0     5     1     8
 -1.1890413412572176E+00 a        89     0     5     1     9
  3.0383855807560614E+00 a        90     0     5     1    10
  2.0483047950628093E+00 a        91     0     5     1    11
 -3.5408595626958519E+00 a        92     0     5     1    12
  1.9195961056143342E+00 a        93     0     5     1    13
  1.3150717540809265E-01 a        94     0     5     1    14
 -3.8001065625278102E-01 a        95     0     5     1    15
  3.3468568494159125E+00 a        96     0     5     1    16
 -2.8401898250493498E+00 a        97     0     5     1    17
 -2.1586718517179779E+00 a        98     0     5     1    18
 -1.6368685705410315E+00 a        99     0     5     1    19
  6.5626577672884312E-01 a       100     0     5     1    20
 -3.8724132474991140E+00 a       101     0     6     1     1
 -4.0441760061617877E+00 a       102     0     6     1     2
  1.2111719110178687E+00 a       103     0     6     1     3
  5.7614274678783395E-01 a       104     0     6     1     4
 -6.8606485548287766E-01 a       105     0     6     1     5
 -7.8733625315870337E-01 a       106     0     6     1     6
  1.9918763851910775E+00 a       107     0     6     1     7
 -4.7214274295973280E-01 a       108     0     6     1     8
  1.4443992753052970E+00 a       109     0     6     1     9
  5.3442392214688619E+00 a       110     0     6     1    10
 -1.8660304763309760E-01 a       111     0     6     1    11
 -2.6069556400253806E-02 a       112     0     6     1    12
  2.0291704549505609E+00 a       113     0     6     1    13
  2.6374945344101286E-01 a       114     0     6     1    14
 -6.3547906502329743E-01 a       115     0     6     1    15
  6.2834470403433340E-01 a       116     0     6     1    16
  1.9843083652881921E-01 a       117     0     6     1    17
 -1.8985722387155204E+00 a       118     0     6     1    18
  3.4944341216044084E+00 a       119     0     6     1    19
  2.3123895117257365E+00 a       120     0     6     1    20
 -1.0988323280329597E+00 a       121     0     7     1     1
  3.5490799458073514E+00 a       122     0     7     1     2
  2.7743489014098603E+00 a       123     0     7     1     3
 -1.0623923506608686E+00 a       124     0     7     1     4
  2.2446857986274442E+00 a       125     0     7     1     5
 -2.4979205862343243E+00 a       126     0     7     1     6
  1.5156202400806675E+00 a       127     0     7     1     7
  4.1829708784042756E+00 a       128     0     7     1     8
  4.0092143212493454E+00 a       129     0     7     1     9
 -4.3113880259359316E+00 a       130     0     7     1    10
 -1.9244940480568076E+00 a       131     0     7     1    11
  4.1643798525770883E+00 a       132     0     7     1    12
 -1.5358689393657980E+00 a       133     0     7     1    13
 -4.3397048606677500E-02 a       134     0     7     1    14
 -1.8819433554889284E-02 a       135     0     7     1    15
 -1.0079975550234073E+00 a       136     0     7     1    16
  2.2291436923491639E+00 a       137     0     7     1    17
  1.9690197861541825E+00 a       138     0     7     1    18
 -1.4921619764720628E+00 a       139     0     7     1    19
 -1.7427677056279198E+00 a       140     0     7     1    20
  6.7747585565229542E+00 a       141     0     8     1     1
  3.5283350643235067E+00 a       142     0     8     1     2
  5.5656089157370947E-01 a       143     0     8     1     3
 -1.5518357567653751E+00 a       144     0     8     1     4
  2.7270515961943991E+00 a       145     0     8     1     5
 -3.4272221924822466E-01 a       146     0     8     1     6
  1.4035508745942034E+00 a       147     0     8     1     7
  1.2653456408682200E+00 a       148     0     8     1     8
 -1.0563933347479282E+00 a       149     0     8     1     9
 -6.0742604547922801E+00 a       150     0     8     1    10
 -1.3137347670739747E+00 a       151     0     8     1    11
 -3.0263118963917428E+00 a       152     0     8     1    12
 -1.0215999071381621E+00 a       153     0     8     1    13
  5.5177761875948483E-01 a       154     0     8     1    14
  1.0777325671439555E+00 a       155     0     8     1    15
 -1.3011618622237313E+00 a       156     0     8     1    16
 -8.2345577147998661E-01 a       157     0     8     1    17
  4.8614233260685058E-01 a       158     0     8     1    18
 -2.2276682219307293E+00 a       159     0     8     1    19
