################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.8017695447353024E-02 a         1     0     1     1     1
 -1.0565045101610975E+00 a         2     0     1     1     2
 -6.2419336901157807E-01 a         3     0     1     1     3
 -4.8647788849484147E-02 a         4     0     1     1     4
  5.7980779286290453E-02 a         5     0     1     1     5
 -1.8535544311930441E-01 a         6     0     1     1     6
 -7.2429090206152980E-01 a         7     0     1     1     7
  2.3682388372724883E-01 a         8     0     1     1     8
  2.0422315822222075E+00 a         9     0     1     1     9
  1.0659072986725444E-01 a        10     0     1     1    10
  7.4015898756546261E-01 a        11     0     1     1    11
 -7.2055807267652205E-01 a        12     0     1     1    12
 -1.0052151267821803E+00 a        13     0     1     1    13
 -1.5787781684503732E-01 a        14     0     1     1    14
  1.6097023083309792E+00 a        15     0     1     1    15
 -2.1105353529273079E+00 a        16     0     1     1    16
  1.0869710615953694E+00 a        17     0     1     1    17
  4.4655381680605694E-01 a        18     0     1     1    18
  2.9651905485543035E+00 a        19     0     1     1    19
 -9.1367596966936426E-01 a        20     0     1     1    20
  1.5732152602942870E+00 a        21     0     2     1     1
 -2.2029161709763057E-01 a        22     0     2     1     2
  2.2530017856526388E-01 a        23     0     2     1     3
  5.2371300389438213E-01 a        24     0     2     1     4
  1.2817388313346685E+00 a        25     0     2     1     5
  1.7969147351082928E+00 a        26     0     2     1     6
  1.0770744707358586E+00 a        27     0     2     1     7
  4.3893703434744510E-02 a        28     0     2     1     8
 -1.8862825764173796E+00 a        29     0     2     1     9
 -1.2706183949052510E-01 a        30     0     2     1    10
  6.8035670075641486E-01 a        31     0     2     1    11
  1.0009202469136695E+00 a        32     0     2     1    12
 -5.7619675957957817E-01 a        33     0     2     1    13
 -1.9490658761453588E+00 a        34     0     2     1    14
  1.8397390628070581E-01 a        35     0     2     1    15
  2.4419815852664422E+00 a        36     0     2     1    16
  1.2266322467305306E-01 a        37     0     2     1    17
  1.1524869586653144E+00 a        38     0     2     1    18
 -2.1499150569626839E+00 a        39     0     2     1    19
  1.4226980791415909E+00 a        40     0     2     1    20
 -1.2367777895057621E+00 a        41     0     3     1     1
  9.3312727811059659E-01 a        42     0     3     1     2
  1.7178504487024123E-02 a        43     0     3     1     3
  1.3518805610788558E+00 a        44     0     3     1     4
 -4.2799727306390634E-01 a        45     0     3     1     5
 -1.7937446534353021E+00 a        46     0     3     1     6
 -2.0112382145075561E-01 a        47     0     3     1     7
 -1.7971143807878309E-01 a        48     0     3     1     8
 -9.4250188135852953E-01 a        49     0     3     1     9
  2.2329899887835747E-01 a        50     0     3     1    10
 -1.6438815274115763E+00 a        51     0     3     1    11
  1.1723093142547263E+00 a        52     0     3     1    12
  1.4183191029240239E+00 a        53     0     3     1    13
  2.2333254387776447E+00 a        54     0     3     1    14
 -1.8950540025907281E+00 a        55     0     3     1    15
 -3.7615910727453877E-01 a        56     0     3     1    16
 -9.9799888566215200E-01 a        57     0     3     1    17
 -8.3484665098270483E-01 a        58     0     3     1    18
 -3.8133913889438493E+00 a        59     0     3     1    19
 -2.4001448608043128E+00 a        60     0     3     1    20
 -2.0892566476349383E+00 a        61     0     4     1     1
  8.4428112736612537E-01 a        62     0     4     1     2
  1.5213297501545586E+00 a        63     0     4     1     3
 -3.5991574080144151E-01 a        64     0     4     1     4
 -1.6725493919413710E+00 a        65     0     4     1     5
 -2.7457654171212140E+00 a        66     0     4     1     6
 -5.7387537274843976E-02 a        67     0     4     1     7
 -1.0539694983473165E+00 a        68     0     4     1     8
  2.0842533843227566E+00 a        69     0     4     1     9
 -9.5870525672688489E-01 a        70     0     4     1    10
 -6.5857541668186603E-01 a        71     0     4     1    11
 -1.5130395010376070E+00 a        72     0     4     1    12
  1.5450469724686593E+00 a        73     0     4     1    13
  1.7314308898733628E+00 a        74     0     4     1    14
 -1.5519411822188998E+00 a        75     0     4     1    15
 -2.2486755724648124E+00 a        76     0     4     1    16
 -6.2845214500750668E-01 a        77     0     4     1    17
 -1.2719382982478395E+00 a        78     0     4     1    18
  2.4150028340161636E+00 a        79     0     4     1    19
  8.8483449773585554E-01 a        80     0     4     1    20
  2.4635042574340607E+00 a        81     0     5     1     1
  3.2576974269410719E-01 a        82     0     5     1     2
  3.7374309266841038E-01 a        83     0     5     1     3
 -2.0155982256249660E+00 a        84     0     5     1     4
  5.4668794181265679E-01 a        85     0     5     1     5
  2.4565163684136637E+00 a        86     0     5     1     6
 -4.6150584374864517E-01 a        87     0     5     1     7
  2.1389854778237440E+00 a        88     0     5     1     8
 -1.3626375190871105E+00 a        89     0     5     1     9
  1.3077077091491434E+00 a        90     0     5     1    10
  2.5647614636471352E+00 a        91     0     5     1    11
 -2.1617165409373573E+00 a        92     0     5     1    12
 -1.5057939816806056E+00 a        93     0     5     1    13
 -4.7941267778161114E+00 a        94     0     5     1    14
  5.1989710608180051E-01 a        95     0     5     1    15
  2.7640757117028967E+00 a        96     0     5     1    16
 -8.9678652308491680E-01 a        97     0     5     1    17
 -3.2374063030308298E-01 a        98     0     5     1    18
