################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         24   1.6496764037181845E-04   3.1191549395361076E-02   3.3808105264095749E-03   1.4793848356032852E-03
         1         25   8.5893639993140110E-06   2.9425555954286323E-02   3.5432198681170759E-03   1.3007712545472718E-03
         1         26   6.9881342386367485E-05   6.1261235769281532E-02   2.3806323658117967E-02   5.0412759056696985E-03
         1         27   3.4887826208473867E-09   1.3179113000317405E-02   2.4243235472987852E-03   1.0479790303187769E-03
         2          1   1.1348641031607196E+00   3.6993115236801946E+00   2.4205426079969143E+00   3.0365091454068149E-01
         2          2   3.2162930728793437E-01   1.5136012561133960E+00   8.5034260056552591E-01   1.4814535447312799E-01
         2          3   8.3528161590984307E-01   2.8853926060365778E+00   1.8681265128840636E+00   2.2805335956268047E-01
         2          4   1.9214551426611923E-01   1.1349989546018520E+00   5.7930758007601424E-01   1.0862460206459450E-01
         2          5   5.1178042872148100E-01   1.8924919287216284E+00   1.2158564238990301E+00   1.3631776655937899E-01
         2          6   6.6565667801648271E-02   6.5709661119920426E-01   2.6899565207362591E-01   5.9333000120584539E-02
         2          7   3.3430255810028819E-01   1.2658995897714294E+00   8.1295591659868882E-01   8.1575761827499482E-02
         2          8   1.5395607168352764E-02   3.6954312222090951E-01   9.7572100880569779E-02   2.7324617129332492E-02
         2          9   2.0637551783518279E-01   1.1942333511650041E+00   7.0933321267272620E-01   6.8707952684668200E-02
         2         10   7.1766485186583170E-02   9.8515625671002127E-01   4.1725972228393138E-01   1.0283430017875476E-01
         2         11   8.0051994458285827E-02   9.5797445427876038E-01   5.3697290756433846E-01   5.5977316252039139E-02
         2         12   1.3177409400805888E-02   7.7728571469386609E-01   2.7922547969427963E-01   9.0076575679984047E-02
         2         13   1.3451556613402279E-02   7.2591742512867652E-01   3.8302952871969836E-01   5.5512197374717090E-02
         2         14   6.0317356503662733E-04   5.8742528262491711E-01   1.5573222636512249E-01   7.3252885716412322E-02
         2         15   2.8747595674949997E-05   4.4973957661333475E-01   1.7264224229457464E-01   4.8520216685824770E-02
         2         16   1.5506353569209757E-07   4.4971393666109438E-01   4.4172248459547522E-02   3.9405181504817317E-02
         2         17   9.0745784677533114E-04   4.5008654533325129E-02   1.3316679656503282E-02   4.5819949378781751E-03
         2         18   7.6912643441531154E-06   1.2263723738810925E-02   5.5203878551295365E-04   3.4925147957737095E-04
         2         19   3.3368817665672561E-02   3.9154517023874819E-01   1.6346664766094854E-01   4.4667817777696933E-02
         2         20   7.5845721706069465E-04   3.2381823782600627E-02   7.7445356312938491E-03   3.7301102277540205E-03
         2         21   1.3055823365946499E-03   9.4630609375129585E-02   2.7587584842143700E-02   7.4395615604882547E-03
         2         22   8.3951439449755950E-03   1.8932155550173502E-01   6.0450271646552645E-02   1.9270939229460195E-02
         2         23   1.1435153859431731E-03   1.4458881492114811E-01   4.5005438265239277E-02   1.0699408010616992E-02
         2         24   2.0282910715306376E-04   3.7455107387466401E-02   5.3384335047079118E-03   2.3700598694435331E-03
         2         25   3.5044665568792463E-06   5.1187254869896085E-03   1.6864280087507298E-04   1.3350766555884707E-04
         2         26   2.0402427966478703E-03   1.6770697176641886E-01   4.3599027425624326E-02   1.2409765569557779E-02
         2         27   2.5494301367402820E-03   1.0179775496826379E-01   2.9281010815049371E-02   1.0631552467943024E-02
         2         28   1.2958914116778754E-05   5.6999471965143191E-03   4.7594220882887382E-04   3.5648641813474155E-04
         2         29   5.4593698921947258E-05   6.3542820881195852E-02   1.6073124646598904E-02   4.1207556836993613E-03
         2         30   8.3102003719659947E-05   7.1839974933567252E-02   1.1276418879636164E-02   3.5534337277676317E-03
