4
1 12 20 1  Ohmic 
   -0.70595810  -0.03015951  -0.04221028  -0.05031574  -0.05592068  -0.05894055  -0.05903583  -0.05595124  -0.04972282  -0.04077969  -0.02991091  -0.01813716   0.03020565 
   -0.66248393  -0.02827662  -0.03955557  -0.04713733  -0.05237774  -0.05519866  -0.05528278  -0.05239144  -0.04655861  -0.03818626  -0.02801397  -0.01700123   0.03057538 
   -0.55551204  -0.02366419  -0.03306819  -0.03938150  -0.04374099  -0.04608334  -0.04614489  -0.04372720  -0.03885916  -0.03187680  -0.02339949  -0.01423814   0.03147469 
   -0.39297876  -0.01670211  -0.02331090  -0.02774136  -0.03079770  -0.03243706  -0.03247500  -0.03077279  -0.02735156  -0.02244911  -0.01650561  -0.01011058   0.03281805 
   -0.18920466  -0.00802774  -0.01119448  -0.01331588  -0.01477933  -0.01556518  -0.01558580  -0.01477560  -0.01314607  -0.01081396  -0.00799888  -0.00501783   0.03447547 
    0.03513282   0.00148894   0.00207390   0.00246354   0.00272912   0.00286618   0.00285729   0.00268853   0.00235901   0.00188392   0.00128402   0.00053933   0.03628399 
    0.25558434   0.01084699   0.01512572   0.01798867   0.01995792   0.02100499   0.02100897   0.01987761   0.01762046   0.01438259   0.01042144   0.00600943   0.03806419 
    0.44844340   0.01907094   0.02662355   0.03168522   0.03517258   0.03703460   0.03705808   0.03508114   0.03112248   0.02544226   0.01850776   0.01085062   0.03963976 
    0.59486049   0.02535596   0.03544194   0.04221240   0.04688369   0.04938579   0.04943351   0.04681079   0.04154330   0.03398029   0.02475141   0.01458898   0.04085646 
    0.68259411   0.02914524   0.04077641   0.04859333   0.05399196   0.05688986   0.05695753   0.05394574   0.04788434   0.03917689   0.02855214   0.01686486   0.04159721 
    0.70544550   0.03013556   0.04217312   0.05026588   0.05585657   0.05885935   0.05893302   0.05581958   0.04954999   0.04054211   0.02955073   0.01746284   0.04179184 
    0.66196069   0.02825228   0.03951795   0.04708701   0.05231320   0.05511706   0.05517962   0.05225949   0.04638555   0.03794851   0.02765367   0.01632684   0.04142209 
    0.55496546   0.02363902   0.03302959   0.03933018   0.04367549   0.04600088   0.04604097   0.04359462   0.03868558   0.03163865   0.02303892   0.01356360   0.04052273 
    0.39240452   0.01667596   0.02327115   0.02768887   0.03073110   0.03235358   0.03237020   0.03063946   0.02717739   0.02221051   0.01614473   0.00943585   0.03917931 
    0.18860910   0.00800084   0.01115386   0.01326251   0.01471189   0.01548094   0.01548033   0.01464171   0.01297145   0.01057503   0.00763777   0.00434296   0.03752185 
   -0.03573458  -0.00151605  -0.00211478  -0.00251716  -0.00279681  -0.00295064  -0.00296295  -0.00282258  -0.00253377  -0.00212296  -0.00164521  -0.00121423   0.03571332 
   -0.25617454  -0.01087370  -0.01516612  -0.01804182  -0.02002515  -0.02108904  -0.02111427  -0.02001136  -0.01779498  -0.01462144  -0.01078250  -0.00668426   0.03393314 
   -0.44900917  -0.01909679  -0.02666295  -0.03173735  -0.03523885  -0.03711776  -0.03716261  -0.03521424  -0.03129647  -0.02568072  -0.01886855  -0.01152529   0.03235762 
   -0.59539884  -0.02538083  -0.03548020  -0.04226337  -0.04694885  -0.04946795  -0.04953716  -0.04694315  -0.04171670  -0.03421830  -0.02511188  -0.01526347   0.03114098 
   -0.68311238  -0.02916940  -0.04081381  -0.04864343  -0.05405630  -0.05697128  -0.05706053  -0.05407756  -0.04805729  -0.03941456  -0.02891239  -0.01753922   0.03040027 
