################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.7182080582767483E-01 a         1     0     1     1     1
 -1.4239615153417511E+00 a         2     0     1     1     2
  1.0983593339430593E+00 a         3     0     1     1     3
  1.3860781409279455E+00 a         4     0     1     1     4
  1.5610356418510123E+00 a         5     0     1     1     5
 -6.5025492990036671E-01 a         6     0     1     1     6
 -5.4015790089525162E-01 a         7     0     1     1     7
  7.6507824748430409E-01 a         8     0     1     1     8
  2.1277725834523367E-01 a         9     0     1     1     9
 -1.0645060104172289E-01 a        10     0     1     1    10
 -1.8407838350330247E-01 a        11     0     1     1    11
  2.3793978147871639E+00 a        12     0     1     1    12
  2.7762512510214079E+00 a        13     0     1     1    13
 -1.6375805821105438E-01 a        14     0     1     1    14
  1.5574349290122078E+00 a        15     0     1     1    15
 -1.0638060361675692E+00 a        16     0     1     1    16
 -4.6618495173924740E-01 a        17     0     1     1    17
  2.7769090600043849E+00 a        18     0     1     1    18
  1.1299981164776738E+00 a        19     0     1     1    19
  6.8552778276841031E-01 a        20     0     1     1    20
 -3.6624300758570488E-01 a        21     0     2     1     1
  1.9563692876332957E+00 a        22     0     2     1     2
  2.0274088288900494E+00 a        23     0     2     1     3
  9.7460870779321085E-01 a        24     0     2     1     4
 -1.5683135305248932E+00 a        25     0     2     1     5
 -8.8347655427483052E-01 a        26     0     2     1     6
  1.5332799883712556E+00 a        27     0     2     1     7
  1.2194456351520724E+00 a        28     0     2     1     8
  5.6434850365280542E-01 a        29     0     2     1     9
 -9.3959881380107579E-01 a        30     0     2     1    10
 -5.2634149580664191E-01 a        31     0     2     1    11
 -8.9272659503807295E-01 a        32     0     2     1    12
 -2.6808000385762143E+00 a        33     0     2     1    13
  7.4937633332827813E-01 a        34     0     2     1    14
  7.6238668972615475E-01 a        35     0     2     1    15
  7.1806771843330608E-01 a        36     0     2     1    16
 -9.4657991127280683E-01 a        37     0     2     1    17
