################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5492569542150882E+00 a         1     0     1     1     1
  1.4098740642831087E+00 a         2     0     1     1     2
 -4.1249980504365280E-01 a         3     0     1     1     3
 -4.1905535818836137E-01 a         4     0     1     1     4
  3.8676958488719624E+00 a         5     0     1     1     5
  3.9185123134068417E-01 a         6     0     1     1     6
  1.4743212533399221E+00 a         7     0     1     1     7
 -9.0502294521684912E-01 a         8     0     1     1     8
 -2.0744733054933007E+00 a         9     0     1     1     9
 -1.4275480485438556E+00 a        10     0     1     1    10
 -7.3698769518485141E-01 a        11     0     1     1    11
  1.2860663775621308E+00 a        12     0     1     1    12
 -6.8952952697053049E-01 a        13     0     1     1    13
  2.5617664846323684E+00 a        14     0     1     1    14
 -8.6459184666910638E-01 a        15     0     1     1    15
  2.6598970837255407E+00 a        16     0     1     1    16
 -8.3664486538354654E-01 a        17     0     1     1    17
  7.3136529843848289E-02 a        18     0     1     1    18
 -1.2753034618635288E+00 a        19     0     1     1    19
 -2.6049838835545380E-01 a        20     0     1     1    20
  8.8019634394512336E-01 a        21     0     2     1     1
 -1.5938390560010804E+00 a        22     0     2     1     2
  1.2750728786942480E+00 a        23     0     2     1     3
  3.3023569879092168E-01 a        24     0     2     1     4
 -2.5144420662507230E+00 a        25     0     2     1     5
  3.6048711200013217E-01 a        26     0     2     1     6
 -1.9218230570594477E+00 a        27     0     2     1     7
  2.9745443398201297E+00 a        28     0     2     1     8
  1.6076791894482323E+00 a        29     0     2     1     9
 -5.2765665942777451E-01 a        30     0     2     1    10
 -7.8184733215485658E-01 a        31     0     2     1    11
 -7.7149504420001080E-01 a        32     0     2     1    12
  6.2444059414608610E-01 a        33     0     2     1    13
 -3.2502978947602039E+00 a        34     0     2     1    14
 -7.2517905013650674E-01 a        35     0     2     1    15
 -2.5269592909779837E-01 a        36     0     2     1    16
  3.7111095699290392E-01 a        37     0     2     1    17
  1.4439870357897536E-01 a        38     0     2     1    18
  1.7217927387770191E+00 a        39     0     2     1    19
 -6.4546460104474124E-01 a        40     0     2     1    20
  3.1541680746253782E+00 a        41     0     3     1     1
 -7.3789408087627650E-01 a        42     0     3     1     2
  4.3283792988774900E-01 a        43     0     3     1     3
  1.6503740646463841E-01 a        44     0     3     1     4
 -4.3615613842044549E+00 a        45     0     3     1     5
 -1.6250671460519157E+00 a        46     0     3     1     6
  6.1962926186437528E-01 a        47     0     3     1     7
  2.0632460583040508E+00 a        48     0     3     1     8
  1.6904145485245179E+00 a        49     0     3     1     9
  3.4715396274297903E+00 a        50     0     3     1    10
  3.0166929573889769E+00 a        51     0     3     1    11
 -2.0019511141514830E+00 a        52     0     3     1    12
  2.3149394408117877E-01 a        53     0     3     1    13
 -2.6473776422585269E+00 a        54     0     3     1    14
  3.6251653676499256E+00 a        55     0     3     1    15
 -3.9971771375623830E+00 a        56     0     3     1    16
  1.5588132518059348E+00 a        57     0     3     1    17
 -1.5882425901389038E-01 a        58     0     3     1    18
  1.2577286402360501E+00 a        59     0     3     1    19
 -2.0051609447863666E-01 a        60     0     3     1    20
 -1.7721172069375180E+00 a        61     0     4     1     1
  1.8177803867974580E+00 a        62     0     4     1     2
 -2.4817716262793015E+00 a        63     0     4     1     3
  7.7617307361185617E-01 a        64     0     4     1     4
  2.3649854984033367E+00 a        65     0     4     1     5
  1.7269888474354527E+00 a        66     0     4     1     6
  1.8497949056055489E+00 a        67     0     4     1     7
 -4.5422606448001206E+00 a        68     0     4     1     8
 -1.2299493106350337E+00 a        69     0     4     1     9
  1.2514725796124007E+00 a        70     0     4     1    10
 -4.8192475605769802E-01 a        71     0     4     1    11
  5.0295778980058337E-01 a        72     0     4     1    12
 -5.7584018223717859E-01 a        73     0     4     1    13
  4.9934616998610233E+00 a        74     0     4     1    14
  2.9458144058452773E-01 a        75     0     4     1    15
 -4.8475666167549097E-01 a        76     0     4     1    16
 -1.2665299723717077E-01 a        77     0     4     1    17
  2.3251062809187958E-01 a        78     0     4     1    18
 -2.9705751454909772E+00 a        79     0     4     1    19
 -2.9226227749637967E-02 a        80     0     4     1    20
 -3.4015253219484891E+00 a        81     0     5     1     1
 -9.3916078051987018E-01 a        82     0     5     1     2
 -7.1452764612373720E-01 a        83     0     5     1     3
 -5.3989229096286118E-02 a        84     0     5     1     4
  4.8864600078790382E-01 a        85     0     5     1     5
  1.6405049159397327E+00 a        86     0     5     1     6
 -4.0512090888607197E+00 a        87     0     5     1     7
 -2.8741597250046436E+00 a        88     0     5     1     8
  1.1968813416946009E+00 a        89     0     5     1     9
 -3.7354461789163258E+00 a        90     0     5     1    10
 -3.6553913701820884E+00 a        91     0     5     1    11
  2.2124722318049019E+00 a        92     0     5     1    12
  2.0224608036642664E+00 a        93     0     5     1    13
 -3.0990950002056866E-01 a        94     0     5     1    14
 -5.3868263887954306E+00 a        95     0     5     1    15
  2.2005295520405368E+00 a        96     0     5     1    16
 -1.4914915613524946E+00 a        97     0     5     1    17
  5.6272955896476928E-01 a        98     0     5     1    18
  2.2259677656839907E-01 a        99     0     5     1    19
  3.0842781651367490E+00 a       100     0     5     1    20
  1.4310262055215308E+00 a       101     0     6     1     1
  1.0342244766966060E+00 a       102     0     6     1     2
  2.4418177368776384E+00 a       103     0     6     1     3
 -2.0730414622243294E+00 a       104     0     6     1     4
 -4.3457333018025668E-01 a       105     0     6     1     5
 -5.6781160946563478E+00 a       106     0     6     1     6
  4.8202043609541612E-01 a       107     0     6     1     7
  2.0805082007818307E+00 a       108     0     6     1     8
 -6.1589352835379396E-01 a       109     0     6     1     9
 -1.9009520292686228E+00 a       110     0     6     1    10
  1.0319205837629595E+00 a       111     0     6     1    11
 -5.0198441749205225E-01 a       112     0     6     1    12
  1.6160713755815981E-01 a       113     0     6     1    13
 -2.8121870696334619E+00 a       114     0     6     1    14
  1.5521268165230395E-01 a       115     0     6     1    15
 -1.9203041307768098E-01 a       116     0     6     1    16
  3.8078145335917452E-01 a       117     0     6     1    17
 -1.1461208711022712E+00 a       118     0     6     1    18
  2.2762543025931978E+00 a       119     0     6     1    19
  1.4788355970740077E+00 a       120     0     6     1    20
  4.0055413165002518E+00 a       121     0     7     1     1
 -2.2834229461327875E+00 a       122     0     7     1     2
  1.5184632188263874E+00 a       123     0     7     1     3
 -3.3879947094326940E-01 a       124     0     7     1     4
  5.3892331551316042E-01 a       125     0     7     1     5
  4.2238344415336476E-01 a       126     0     7     1     6
  2.1415789709876418E+00 a       127     0     7     1     7
  2.4441721398267262E+00 a       128     0     7     1     8
 -2.2229465506225541E+00 a       129     0     7     1     9
  3.6202296983777376E+00 a       130     0     7     1    10
  5.9762283258351854E+00 a       131     0     7     1    11
 -1.1950544273390107E+00 a       132     0     7     1    12
