################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.2380517853133588E+00 a       117     0     8     1     5
 -8.8791942716005179E-01 a       118     0     8     1     6
  2.3672212170975171E-01 a       119     0     8     1     7
 -4.5363045020625581E+00 a       120     0     8     1     8
  2.7231962272138981E+00 a       121     0     8     1     9
  6.9057153468193577E-01 a       122     0     8     1    10
  1.6660015543049302E+00 a       123     0     8     1    11
  6.4464860770243293E-01 a       124     0     8     1    12
  1.1151892318792424E+01 a       125     0     8     1    13
 -1.7259117470529228E+00 a       126     0     8     1    14
 -6.2730657923987181E+00 a       127     0     8     1    15
  3.9634464552524209E+00 a       128     0     8     1    16
 -4.8150846613509612E-01 a       129     0     9     1     1
 -1.8182166171332479E+00 a       130     0     9     1     2
 -2.4154812598854236E+00 a       131     0     9     1     3
  1.3088331581354316E+00 a       132     0     9     1     4
  5.3937247265793555E+00 a       133     0     9     1     5
  2.0912359521689807E+00 a       134     0     9     1     6
 -1.9486659111950119E-02 a       135     0     9     1     7
 -1.7891749768604996E+00 a       136     0     9     1     8
 -7.4072979290940277E-01 a       137     0     9     1     9
 -1.2691398428711249E+00 a       138     0     9     1    10
 -2.6791664100971319E-01 a       139     0     9     1    11
  5.3598645544010570E-01 a       140     0     9     1    12
 -9.4278803336526751E-01 a       141     0     9     1    13
 -1.6790676345233366E+00 a       142     0     9     1    14
  5.1556133988596686E-01 a       143     0     9     1    15
 -4.8077281476420692E+00 a       144     0     9     1    16
 -9.6512466987947434E+00 a       145     0    10     1     1
 -4.3762003375725325E+00 a       146     0    10     1     2
  2.0245564393575495E+00 a       147     0    10     1     3
 -6.8146495867283607E-01 a       148     0    10     1     4
  8.8561244361376943E+00 a       149     0    10     1     5
 -1.2113616306559717E+01 a       150     0    10     1     6
 -1.1423041662198401E+01 a       151     0    10     1     7
 -8.4740244349394356E+00 a       152     0    10     1     8
  1.6032892680224894E+01 a       153     0    10     1     9
 -2.0969024371795548E+01 a       154     0    10     1    10
  1.1090789986723653E+00 a       155     0    10     1    11
 -4.4908718057374095E+00 a       156     0    10     1    12
  1.4449985482077507E+01 a       157     0    10     1    13
  8.3878384961814909E+00 a       158     0    10     1    14
 -6.7545735577629475E+00 a       159     0    10     1    15
